iter	Logloss
0	0.6067285373
1	0.5410935811
2	0.4916218238
3	0.4542971863
4	0.4262024438
5	0.4117507965
6	0.391982915
7	0.3687670138
8	0.3598209525
9	0.3474677719
10	0.340858754
11	0.3349162965
12	0.3296026688
13	0.3221923382
14	0.3179111325
15	0.3142155532
16	0.3110146063
17	0.3081828429
18	0.2994139651
19	0.2972609389
20	0.2951850101
21	0.2934185871
22	0.2900951744
23	0.2886081574
24	0.2872602515
25	0.286076508
26	0.2812843506
27	0.2804330711
28	0.2796200335
29	0.278885182
30	0.2782217033
31	0.2775851265
32	0.2770814166
33	0.276564898
34	0.2737858634
35	0.2720373896
36	0.2716622457
37	0.2704508774
38	0.2697441512
39	0.2694119548
40	0.2691205589
41	0.2686927214
42	0.2684437026
43	0.2680877626
44	0.2663401313
45	0.2661571071
46	0.2659804652
47	0.2657933444
48	0.2655483129
49	0.2653591915
50	0.2651804219
51	0.2650272944
52	0.2648985934
53	0.2647715897
54	0.2646142527
55	0.2644405896
56	0.2642836354
57	0.2641413794
58	0.2640129604
59	0.2639012192
60	0.2635539863
61	0.2634452209
62	0.2633412219
63	0.2632592284
64	0.2631332805
65	0.2630401834
66	0.2629296575
67	0.2628154095
68	0.2627309909
69	0.2626611935
70	0.2625856655
71	0.2624964303
72	0.2624165358
73	0.2623506178
74	0.2622903728
75	0.2622124578
76	0.2621373756
77	0.262073729
78	0.2620215022
79	0.2609675869
80	0.2609128091
81	0.2608647815
82	0.2608037744
83	0.2607380531
84	0.2606874822
85	0.2599191204
86	0.2598779873
87	0.2598110085
88	0.2597631527
89	0.2597064067
90	0.2596665354
91	0.2596151143
92	0.2595726901
93	0.2595318259
94	0.2590276014
95	0.2589856621
96	0.2589500022
97	0.2588976461
98	0.2588581899
99	0.2588220281
100	0.2587844103
101	0.2582663999
102	0.2582313537
103	0.2581950834
104	0.2580337907
105	0.2580050462
106	0.257982259
107	0.2579502171
108	0.2579219126
109	0.2575773105
110	0.2575423067
111	0.2574626792
112	0.2574380898
113	0.2573250516
114	0.257302456
115	0.2572707099
116	0.2572280779
117	0.2571990427
118	0.2571728564
119	0.2571446139
120	0.2571118895
121	0.257085858
122	0.257064171
123	0.2570449746
124	0.2570254444
125	0.2570044744
126	0.2569834181
127	0.2569569019
128	0.2569351322
129	0.2568642067
130	0.256845609
131	0.2568231184
132	0.2567994899
133	0.2567790727
134	0.2567558666
135	0.2567328409
136	0.2567061348
137	0.2566858049
138	0.2566707399
139	0.2566497282
140	0.2565691137
141	0.2565460927
142	0.2565272543
143	0.2565152268
144	0.256095244
145	0.2560719862
146	0.2560567646
147	0.2560351558
148	0.2560208454
149	0.256001824
150	0.2559434422
151	0.2559258047
152	0.2559069604
153	0.2558901167
154	0.2558762173
155	0.2558596818
156	0.2558367565
157	0.2558201981
158	0.2558039191
159	0.2557843965
160	0.2557714101
161	0.2557602499
162	0.2557478698
163	0.2557281785
164	0.255717462
165	0.2557010455
166	0.255685133
167	0.2556698933
168	0.2556599049
169	0.2556451083
170	0.2556333386
171	0.2556156207
172	0.2556053048
173	0.255313326
174	0.2553032879
175	0.2552866952
176	0.2552719725
177	0.2552608801
178	0.2552373612
179	0.2552228082
180	0.2552057956
181	0.2551870675
182	0.2551327506
183	0.2551204433
184	0.2551041908
185	0.2550800092
186	0.255070036
187	0.2550610675
188	0.2550501491
189	0.2550417043
190	0.2550247735
191	0.2550022589
192	0.2549931248
193	0.2549673021
194	0.2549512662
195	0.2547293254
196	0.254715107
197	0.2546958912
198	0.2546867748
199	0.2546739263
200	0.2546583204
201	0.2546399531
202	0.2546279314
203	0.2545806396
204	0.2545688843
205	0.2545604696
206	0.254551028
207	0.254530229
208	0.2545137752
209	0.2545028165
210	0.2544889301
211	0.2544780138
212	0.2544662042
213	0.2544269242
214	0.2544099635
215	0.2543920157
216	0.254381787
217	0.254159212
218	0.2541451763
219	0.2541321558
220	0.254109324
221	0.2540991086
222	0.2540847464
223	0.2540147493
224	0.2539997557
225	0.2539906283
226	0.2539824354
227	0.2539736624
228	0.2539611072
229	0.2539450987
230	0.2539347918
231	0.2539221396
232	0.253911551
233	0.2539051247
234	0.2538970177
235	0.2538843273
236	0.2538636119
237	0.2538439458
238	0.2538319244
239	0.253822337
240	0.2538124372
241	0.2538059529
242	0.2537987417
243	0.2537851637
244	0.2537758275
245	0.2537632893
246	0.2537570745
247	0.2537459508
248	0.25373606
249	0.2537229212
250	0.2537139033
251	0.2537001286
252	0.2536895378
253	0.2536796613
254	0.2536659301
255	0.2536561772
256	0.2536430107
257	0.2536323429
258	0.2536174356
259	0.2536041481
260	0.253591573
261	0.2535481481
262	0.2535366444
263	0.2535233822
264	0.253500702
265	0.253490201
266	0.2534758112
267	0.2534623427
268	0.2534510897
269	0.2534364766
270	0.2534241668
271	0.2534143758
272	0.2534002271
273	0.2533729799
274	0.2533664967
275	0.2533566178
276	0.2533460961
277	0.2533242534
278	0.2533079189
