iter	Passed	Remaining
0	23	23029
1	46	23015
2	67	22372
3	92	23072
4	112	22340
5	133	22050
6	153	21741
7	174	21680
8	196	21649
9	219	21753
10	243	21878
11	267	21994
12	292	22217
13	315	22206
14	340	22361
15	363	22332
16	386	22376
17	418	22842
18	448	23138
19	478	23464
20	505	23566
21	528	23516
22	554	23564
23	581	23656
24	604	23556
25	625	23442
26	651	23478
27	679	23579
28	703	23546
29	727	23513
30	751	23480
31	774	23441
32	797	23371
33	821	23342
34	848	23395
35	875	23439
36	900	23424
37	927	23484
38	953	23505
39	977	23471
40	1001	23419
41	1025	23398
42	1054	23464
43	1081	23501
44	1108	23529
45	1132	23479
46	1155	23438
47	1179	23393
48	1204	23384
49	1229	23352
50	1253	23315
51	1277	23285
52	1299	23223
53	1323	23184
54	1349	23185
55	1375	23179
56	1397	23126
57	1423	23126
58	1449	23118
59	1471	23048
60	1497	23048
61	1523	23044
62	1549	23041
63	1575	23040
64	1599	23010
65	1624	22984
66	1649	22965
67	1680	23038
68	1705	23015
69	1729	22974
70	1753	22937
71	1776	22894
72	1799	22848
73	1821	22795
74	1845	22761
75	1868	22716
76	1892	22690
77	1915	22647
78	1940	22617
79	1966	22617
80	1991	22592
81	2017	22584
82	2041	22553
83	2067	22546
84	2093	22533
85	2120	22536
86	2146	22525
87	2171	22500
88	2194	22461
89	2219	22439
90	2243	22406
91	2265	22362
92	2289	22329
93	2313	22299
94	2337	22270
95	2360	22232
96	2385	22206
97	2411	22192
98	2434	22160
99	2459	22134
100	2482	22096
101	2512	22123
102	2536	22091
103	2560	22056
104	2585	22038
105	2608	21997
106	2632	21969
107	2659	21969
108	2682	21929
109	2708	21912
110	2730	21870
111	2755	21845
112	2779	21816
113	2802	21782
114	2826	21754
115	2853	21743
116	2877	21719
117	2901	21690
118	2928	21677
119	2951	21647
120	2976	21623
121	3001	21599
122	3025	21573
123	3051	21554
124	3074	21520
125	3099	21497
126	3125	21484
127	3152	21479
128	3179	21470
129	3204	21446
130	3227	21408
131	3251	21379
132	3276	21359
133	3299	21322
134	3322	21286
135	3347	21268
136	3371	21238
137	3396	21213
138	3419	21181
139	3443	21154
140	3471	21147
141	3496	21127
142	3521	21105
143	3551	21109
144	3579	21106
145	3601	21068
146	3625	21039
147	3652	21025
148	3679	21014
149	3705	21000
150	3731	20979
151	3753	20940
152	3775	20903
153	3800	20876
154	3824	20850
155	3846	20812
156	3869	20778
157	3892	20742
158	3914	20704
159	3938	20677
160	3960	20637
161	3983	20608
162	4010	20591
163	4033	20561
164	4056	20529
165	4079	20497
166	4105	20479
167	4128	20447
168	4154	20428
169	4177	20397
170	4202	20371
171	4231	20367
172	4256	20349
173	4282	20330
174	4306	20300
175	4331	20277
176	4354	20246
177	4378	20218
178	4401	20188
179	4425	20160
180	4449	20131
181	4472	20102
182	4500	20093
183	4526	20076
184	4550	20047
185	4573	20016
186	4598	19992
187	4622	19964
188	4649	19953
189	4675	19931
190	4699	19904
191	4723	19879
192	4748	19854
193	4771	19825
194	4794	19793
195	4822	19780
196	4844	19748
197	4868	19721
198	4893	19695
199	4915	19663
200	4939	19635
201	4962	19603
202	4986	19577
203	5010	19552
204	5035	19527
205	5058	19498
206	5081	19467
207	5107	19448
208	5137	19442
209	5159	19410
210	5183	19381
211	5205	19348
212	5229	19323
213	5257	19310
214	5282	19286
215	5304	19255
216	5327	19223
217	5352	19201
218	5377	19178
219	5402	19154
220	5428	19136
221	5453	19112
222	5477	19086
223	5502	19063
224	5526	19034
225	5551	19013
226	5578	18996
227	5602	18971
228	5629	18954
229	5651	18921
230	5677	18900
231	5699	18867
232	5723	18839
233	5749	18820
234	5774	18799
235	5800	18777
236	5825	18755
237	5848	18725
238	5873	18702
239	5897	18674
240	5921	18649
241	5946	18625
242	5970	18600
243	5994	18572
244	6016	18539
245	6041	18517
246	6065	18491
247	6090	18469
248	6116	18448
249	6143	18430
250	6167	18404
251	6192	18380
252	6218	18361
253	6243	18338
254	6269	18316
255	6293	18291
256	6319	18270
257	6344	18247
258	6367	18217
259	6391	18192
260	6415	18165
261	6440	18141
262	6465	18119
263	6490	18095
264	6519	18081
265	6544	18059
266	6566	18027
267	6592	18005
268	6615	17977
269	6643	17961
270	6669	17941
271	6694	17916
272	6717	17888
273	6742	17864
274	6768	17844
275	6796	17827
276	6821	17806
277	6845	17778
278	6869	17752
279	6892	17723
280	6918	17701
281	6940	17670
282	6965	17646
283	6988	17620
284	7012	17593
285	7038	17571
286	7063	17546
287	7088	17523
288	7115	17506
289	7140	17482
290	7166	17460
291	7193	17441
292	7219	17419
293	7243	17393
294	7267	17368
295	7289	17336
296	7313	17311
297	7335	17281
298	7361	17258
299	7386	17236
300	7411	17211
301	7434	17183
302	7461	17164
303	7485	17137
304	7510	17114
305	7535	17089
306	7560	17065
307	7587	17047
308	7613	17025
309	7639	17004
310	7664	16980
311	7690	16959
312	7714	16932
313	7739	16907
314	7760	16876
315	7787	16855
316	7811	16830
317	7834	16802
318	7858	16776
319	7883	16751
320	7907	16726
321	7929	16697
322	7954	16671
323	7978	16646
324	8001	16617
325	8026	16594
326	8049	16565
327	8070	16535
328	8095	16510
329	8120	16486
330	8145	16462
331	8172	16442
332	8197	16420
333	8224	16400
334	8250	16378
335	8275	16353
336	8297	16324
337	8320	16296
338	8345	16272
339	8370	16248
340	8396	16227
341	8422	16205
342	8448	16182
343	8472	16156
344	8497	16133
345	8520	16106
346	8545	16080
347	8572	16060
348	8597	16036
349	8626	16020
350	8651	15996
351	8675	15971
352	8699	15945
353	8724	15920
354	8748	15895
355	8774	15872
356	8800	15851
357	8825	15826
358	8851	15804
359	8875	15779
360	8899	15752
361	8925	15730
362	8949	15704
363	8971	15675
364	8995	15649
365	9018	15622
366	9040	15592
367	9064	15567
368	9090	15544
369	9114	15520
370	9140	15496
371	9164	15470
372	9189	15447
373	9214	15422
374	9240	15400
375	9264	15375
376	9288	15349
377	9313	15325
378	9338	15301
379	9364	15278
380	9389	15254
381	9414	15231
382	9440	15208
383	9463	15181
384	9489	15159
385	9513	15133
386	9540	15111
387	9569	15094
388	9597	15074
389	9624	15054
390	9648	15028
391	9675	15006
392	9699	14980
393	9724	14957
394	9750	14934
395	9775	14909
396	9800	14885
397	9824	14860
398	9846	14831
399	9869	14804
400	9893	14778
401	9916	14751
402	9939	14724
403	9965	14700
404	9991	14678
405	10014	14651
406	10039	14627
407	10061	14598
408	10087	14575
409	10111	14550
410	10134	14523
411	10159	14498
412	10186	14478
413	10212	14454
414	10236	14430
415	10261	14405
416	10286	14381
417	10311	14357
418	10337	14334
419	10362	14310
420	10386	14284
421	10412	14261
422	10438	14239
423	10464	14216
424	10489	14191
425	10512	14164
426	10538	14141
427	10565	14120
428	10591	14097
429	10621	14079
430	10645	14054
431	10671	14030
432	10695	14005
433	10723	13984
434	10747	13959
435	10771	13934
436	10795	13908
437	10823	13887
438	10850	13865
439	10877	13844
440	10902	13820
441	10926	13794
442	10951	13770
443	10973	13742
444	10998	13716
445	11020	13689
446	11046	13665
447	11070	13640
448	11097	13618
449	11121	13593
450	11145	13567
451	11169	13541
452	11192	13514
453	11215	13488
454	11243	13467
455	11267	13442
456	11293	13418
457	11315	13391
458	11343	13369
459	11367	13344
460	11394	13322
461	11419	13297
462	11443	13272
463	11476	13256
464	11500	13232
465	11525	13207
466	11549	13181
467	11573	13156
468	11601	13134
469	11624	13108
470	11647	13081
471	11677	13062
472	11699	13035
473	11724	13010
474	11749	12985
475	11773	12960
476	11798	12936
477	11822	12910
478	11845	12884
479	11871	12860
480	11895	12835
481	11921	12811
482	11945	12786
483	11969	12760
484	11994	12736
485	12017	12710
486	12042	12685
487	12068	12662
488	12094	12638
489	12120	12614
490	12147	12592
491	12173	12568
492	12199	12545
493	12224	12521
494	12249	12497
495	12274	12472
496	12299	12448
497	12323	12422
498	12348	12397
499	12376	12376
500	12404	12354
501	12432	12333
502	12462	12313
503	12486	12288
504	12514	12266
505	12541	12243
506	12568	12221
507	12597	12200
508	12624	12178
509	12652	12156
510	12679	12133
511	12705	12109
512	12728	12083
513	12756	12061
514	12785	12040
515	12814	12020
516	12842	11998
517	12871	11976
518	12898	11954
519	12925	11930
520	12951	11907
521	12977	11883
522	13004	11861
523	13027	11833
524	13053	11809
525	13078	11785
526	13106	11763
527	13136	11742
528	13163	11720
529	13191	11697
530	13212	11669
531	13232	11640
532	13257	11615
533	13282	11590
534	13309	11567
535	13334	11543
536	13357	11517
537	13385	11494
538	13415	11474
539	13443	11451
540	13470	11428
541	13498	11406
542	13527	11385
543	13554	11361
544	13582	11339
545	13609	11316
546	13637	11293
547	13664	11270
548	13685	11242
549	13714	11220
550	13741	11197
551	13768	11174
552	13795	11150
553	13822	11128
554	13849	11104
555	13877	11081
556	13903	11057
557	13929	11033
558	13956	11010
559	13981	10985
560	14002	10957
561	14020	10926
562	14040	10898
563	14066	10873
564	14094	10851
565	14121	10828
566	14148	10804
567	14173	10780
568	14193	10751
569	14214	10723
570	14241	10699
571	14267	10675
572	14294	10652
573	14324	10630
574	14348	10605
575	14374	10581
576	14402	10558
577	14428	10533
578	14450	10507
579	14476	10482
580	14498	10456
581	14524	10431
582	14547	10405
583	14574	10382
584	14600	10357
585	14626	10333
586	14654	10310
587	14678	10284
588	14705	10261
589	14729	10235
590	14756	10212
591	14784	10189
592	14811	10166
593	14836	10140
594	14862	10116
595	14888	10092
596	14914	10067
597	14939	10043
598	14965	10018
599	14992	9994
600	15018	9970
601	15046	9947
602	15073	9924
603	15100	9900
604	15128	9877
605	15157	9854
606	15181	9829
607	15198	9798
608	15216	9769
609	15239	9743
610	15265	9718
611	15291	9694
612	15318	9671
613	15345	9647
614	15371	9622
615	15398	9599
616	15425	9575
617	15452	9551
618	15480	9528
619	15507	9504
620	15532	9479
621	15559	9455
622	15583	9429
623	15610	9406
624	15636	9382
625	15659	9355
626	15687	9332
627	15713	9308
628	15741	9284
629	15767	9260
630	15793	9236
631	15820	9211
632	15848	9188
633	15875	9164
634	15904	9142
635	15930	9117
636	15958	9094
637	15981	9067
638	16003	9041
639	16028	9016
640	16054	8991
641	16079	8966
642	16104	8941
643	16130	8916
644	16156	8892
645	16176	8864
646	16193	8835
647	16212	8806
648	16234	8780
649	16258	8754
650	16284	8729
651	16307	8704
652	16330	8677
653	16360	8655
654	16388	8632
655	16413	8607
656	16439	8582
657	16463	8557
658	16486	8531
659	16510	8505
660	16534	8479
661	16561	8456
662	16589	8432
663	16615	8408
664	16640	8382
665	16663	8356
666	16689	8332
667	16716	8307
668	16743	8284
669	16769	8259
670	16795	8235
671	16823	8211
672	16851	8187
673	16877	8163
674	16903	8138
675	16929	8114
676	16956	8090
677	16980	8064
678	17004	8039
679	17032	8015
680	17058	7990
681	17085	7966
682	17113	7942
683	17138	7917
684	17163	7892
685	17182	7864
686	17203	7838
687	17229	7813
688	17253	7787
689	17279	7763
690	17303	7737
691	17330	7713
692	17354	7687
693	17379	7662
694	17406	7638
695	17433	7614
696	17461	7591
697	17488	7566
698	17515	7542
699	17539	7516
700	17564	7491
701	17590	7467
702	17616	7442
703	17639	7416
704	17666	7392
705	17693	7368
706	17720	7343
707	17743	7318
708	17767	7292
709	17792	7267
710	17817	7242
711	17841	7216
712	17863	7190
713	17882	7163
714	17906	7137
715	17930	7112
716	17953	7086
717	17977	7060
718	18001	7035
719	18025	7009
720	18052	6985
721	18078	6961
722	18101	6935
723	18121	6908
724	18144	6882
725	18163	6855
726	18179	6826
727	18196	6798
728	18216	6771
729	18236	6744
730	18258	6719
731	18283	6694
732	18307	6668
733	18335	6644
734	18362	6620
735	18389	6596
736	18415	6571
737	18443	6547
738	18468	6522
739	18493	6497
740	18520	6473
741	18547	6449
742	18576	6425
743	18602	6400
744	18629	6376
745	18656	6352
746	18679	6326
747	18705	6301
748	18730	6276
749	18758	6252
750	18786	6228
751	18814	6204
752	18842	6180
753	18869	6156
754	18897	6132
755	18924	6107
756	18949	6082
757	18977	6058
758	19004	6034
759	19030	6009
760	19058	5985
761	19086	5961
762	19114	5937
763	19142	5913
764	19163	5886
765	19184	5860
766	19208	5835
767	19230	5809
768	19257	5784
769	19278	5758
770	19299	5732
771	19322	5706
772	19344	5680
773	19368	5655
774	19392	5630
775	19421	5606
776	19447	5581
777	19469	5555
778	19495	5530
779	19523	5506
780	19549	5481
781	19576	5457
782	19599	5431
783	19626	5407
784	19654	5383
785	19683	5359
786	19710	5334
787	19740	5310
788	19767	5286
789	19792	5261
790	19819	5236
791	19846	5212
792	19876	5188
793	19901	5163
794	19922	5137
795	19941	5110
796	19962	5084
797	19985	5059
798	20014	5034
799	20042	5010
800	20069	4986
801	20096	4961
802	20124	4937
803	20152	4912
804	20173	4886
805	20199	4861
806	20222	4836
807	20241	4809
808	20263	4784
809	20283	4757
810	20303	4731
811	20324	4705
812	20347	4680
813	20373	4655
814	20401	4630
815	20426	4605
816	20453	4581
817	20481	4557
818	20509	4532
819	20538	4508
820	20563	4483
821	20588	4458
822	20613	4433
823	20637	4407
824	20663	4383
825	20691	4358
826	20721	4334
827	20749	4310
828	20778	4285
829	20802	4260
830	20826	4235
831	20851	4210
832	20877	4185
833	20901	4160
834	20925	4135
835	20951	4110
836	20977	4085
837	21005	4060
838	21031	4035
839	21058	4011
840	21084	3986
841	21111	3961
842	21138	3936
843	21157	3910
844	21176	3884
845	21198	3858
846	21223	3833
847	21245	3808
848	21274	3783
849	21301	3759
850	21328	3734
851	21355	3709
852	21379	3684
853	21406	3659
854	21433	3634
855	21459	3609
856	21486	3585
857	21514	3560
858	21538	3535
859	21558	3509
860	21582	3484
861	21607	3459
862	21635	3434
863	21662	3409
864	21689	3385
865	21717	3360
866	21744	3335
867	21769	3310
868	21794	3285
869	21821	3260
870	21846	3235
871	21872	3210
872	21892	3184
873	21911	3158
874	21930	3132
875	21951	3107
876	21972	3081
877	21991	3055
878	22012	3030
879	22033	3004
880	22053	2978
881	22074	2953
882	22096	2927
883	22123	2903
884	22148	2878
885	22174	2853
886	22197	2827
887	22218	2802
888	22241	2777
889	22267	2752
890	22294	2727
891	22324	2702
892	22351	2678
893	22378	2653
894	22405	2628
895	22433	2603
896	22460	2579
897	22490	2554
898	22517	2529
899	22543	2504
900	22567	2479
901	22590	2454
902	22618	2429
903	22645	2404
904	22673	2380
905	22701	2355
906	22729	2330
907	22755	2305
908	22783	2280
909	22810	2256
910	22834	2230
911	22858	2205
912	22878	2180
913	22903	2155
914	22928	2129
915	22954	2105
916	22981	2080
917	23009	2055
